age,year_of_publication,book_title_encoded,book_author_encoded,category_encoded,publisher_encoded,rating
20.0,2004.0,0.9875389408099688,0.7810457516339869,0.5490196078431373,0.872,0
34.74389988072476,1999.0,0.2897196261682243,0.8856209150326798,0.5490196078431373,0.776,2
34.74389988072476,1999.0,0.40809968847352024,0.4607843137254902,0.6078431372549019,0.936,8
34.74389988072476,1996.0,0.8333333333333333,0.4673202614379085,0.5490196078431373,0.176,8
29.0,1996.0,0.26635514018691586,0.7026143790849674,0.5490196078431373,0.008,8
56.0,2003.0,0.7367601246105919,0.6895424836601307,0.5490196078431373,0.392,8
32.0,1991.0,0.6682242990654206,0.36601307189542487,0.5490196078431373,0.47200000000000003,9
69.0,1997.0,0.16199376947040497,0.14052287581699346,0.5490196078431373,0.64,0
34.0,2001.0,0.1791277258566978,0.35294117647058826,0.5490196078431373,0.34400000000000003,0
46.0,2000.0,0.7819314641744548,0.7483660130718954,0.7843137254901961,0.6880000000000001,9
34.74389988072476,2004.0,0.9875389408099688,0.7810457516339869,0.5490196078431373,0.872,3
49.0,2001.0,0.028037383177570093,0.4673202614379085,0.5490196078431373,0.184,7
30.0,1994.0,0.38006230529595014,0.5490196078431373,0.5490196078431373,0.04,5
30.0,2001.0,0.1261682242990654,0.33986928104575165,0.5490196078431373,0.56,0
15.0,1999.0,0.2850467289719626,0.35947712418300654,0.7058823529411764,0.048,10
34.74389988072476,2002.0,0.4517133956386293,0.22222222222222224,0.5490196078431373,0.096,10
21.0,2004.0,0.9875389408099688,0.7810457516339869,0.5490196078431373,0.872,9
34.74389988072476,1997.0,0.024922118380062305,0.28431372549019607,0.0784313725490196,0.936,0
34.74389988072476,2004.0,0.9875389408099688,0.7810457516339869,0.5490196078431373,0.872,0
16.0,2002.0,0.06230529595015576,0.7026143790849674,0.5490196078431373,0.34400000000000003,8
18.0,1997.0,0.8115264797507787,0.8333333333333334,0.7058823529411764,0.664,7
34.74389988072476,2002.0,0.20093457943925233,0.803921568627451,0.5490196078431373,0.936,8
52.0,1991.0,0.14641744548286603,0.6111111111111112,0.5490196078431373,0.176,10
34.74389988072476,1999.0,0.9719626168224299,0.9052287581699346,0.5490196078431373,0.08,7
48.0,2003.0,0.2803738317757009,0.35947712418300654,0.7058823529411764,0.752,9
34.74389988072476,1989.0,0.9626168224299065,0.06862745098039216,0.5098039215686274,0.984,10
34.74389988072476,1995.0,0.5965732087227414,0.21241830065359477,0.5490196078431373,0.936,5
34.74389988072476,2000.0,0.4797507788161994,0.5392156862745098,0.5490196078431373,0.928,0
30.0,1989.0,0.19626168224299065,0.9019607843137255,0.5490196078431373,0.088,0
37.0,1992.0,0.46417445482866043,0.22875816993464054,0.5490196078431373,0.176,0
21.0,1994.0,0.6962616822429907,0.8856209150326798,0.5490196078431373,0.792,0
36.0,2004.0,0.9875389408099688,0.7810457516339869,0.5490196078431373,0.872,0
34.74389988072476,2004.0,0.14330218068535824,0.4803921568627451,0.5490196078431373,0.112,0
50.0,2003.0,0.20404984423676012,0.7189542483660131,0.5490196078431373,0.8,7
34.74389988072476,1990.0,0.9735202492211837,0.6405228758169935,0.5490196078431373,0.64,0
44.0,2000.0,0.4143302180685358,0.5849673202614379,0.5490196078431373,0.34400000000000003,6
34.74389988072476,1998.0,0.1526479750778816,0.1568627450980392,0.5490196078431373,0.928,0
33.0,2001.0,0.35358255451713394,0.4019607843137255,0.5490196078431373,0.136,8
36.0,1997.0,0.8348909657320872,0.869281045751634,0.5490196078431373,0.112,0
34.74389988072476,1971.0,0.3364485981308411,0.8529411764705883,0.7058823529411764,0.712,0
34.74389988072476,1990.0,0.6542056074766355,0.40522875816993464,0.8235294117647058,0.032,8
